"id","site","long","lat","state","pi","depth","ASH","BEECH","BIRCH","ELM","HEMLOCK","MAPLE","OAK","OTHER.CONIFER","OTHER.HARDWOOD","PINE","SPRUCE","TAMARACK"
"1793","Nels Lake",-91.9,48.033333,"minnesota","Shane, Linda C. K.",20.75,2,0,44,1,0,1,4,1,25,144,13,1
"13056","Oak Glen Lake",-93.0876,43.9343,"minnesota","Cushing, Edward J.",212,13,0,12,13,1,3,151,0,44,32.5,2,0
"10971","Ocheda Lake",-95.64,43.59,"minnesota","Cushing, Edward J.",30,9,0,4,2,0,9,27,0,21,39,1,1
"10977","Olson Lake",-93.6619,46.5137,"minnesota","Cushing, Edward J.",1060,8,0,106,17,1,6,44,3.5,119,222,13.5,18
"1830","Lake Onamia",-93.68,46.068333,"minnesota","McAndrews, John H.",20,6,0,45,4,0,0,31,3,28,204,1,2
"1831","Ondris Pond",-94.4,46.35,"minnesota","Jacobson, George L., Jr.",210,3,0,34,4,0,3,34,0,25,140,3,1
"1840","Otto Mielke Lake",-89.625,45.933333,"wisconsin","Shane, Linda C. K.",22.25,0,0,53,2,17,3,11,4,17,188,4,1
"1884","Pennington Lake",-93.273056,45.780556,"minnesota","McAndrews, John H.",30,5,0,31,3,2,2,73,2,27,265,2,4
"12009","Perch Lake",-95.4724,46.1959,"minnesota","Cushing, Edward J.",75,5,0,23,7,0,8,100,0,43,43.5,1,0
"1891","Peterson Slough",-95.316667,46.966667,"minnesota","Almendinger, John C.",100,4,0,28,9,0,0,46,0,10,219,5.5,3
"3541","Pogonia Bog Pond",-93.633333,45.033333,"minnesota","Cushing, Edward J.",13,8,0,13,55,0,20,79,1,52,24,0,2
"1955","Pleasant Lake (US:Minnesota)",-93.566667,44.588889,"minnesota","McAndrews, John H.",20,3,0,14,36,0,3,158,0,60,36,2,0
"3558","Pogonia Bog Pond",-93.633333,45.033333,"minnesota","Cushing, Edward J.",320,12,0,28,38,4,31,231,0,147,11,0.5,21
"1966","Portage Lake",-94.113333,47.081389,"minnesota","McAndrews, John H.",35,1,0,57,1,2,3,14,2,27,215,2,4
"12011","Lake Rachel",-95.5616,45.8078,"minnesota","Cushing, Edward J.",35,7,0,27,16,0,17,145,0,85,44,3.5,0
"2011","Radtke Lake",-88.1,43.4,"wisconsin","Webb, Sara L.",52,6,6,23,18,0,4,151,0,56,16,1,0
"2051","Reichow",-95.775,47.187778,"minnesota","McAndrews, John H.",20,3,0,97,19,0,2,60,0,36,52,11,2
"2053","Reidel Lake",-95.284167,46.211944,"minnesota","Almquist-Jacobson, Heather",464,4,0,37,10,0,3,56,0,44,66,8,13
"2062","Rholl Lake",-96.166667,47.6,"minnesota","McAndrews, John H.",20,2,0,58,4,1,0,61,1,67,48,4,0
"10983","Round Grove Lake",-94.5,44.718,"minnesota","Cushing, Edward J.",45,9,0,27,26,2,2,119,0,74,65,4,1
"2309","Ruby Lake",-91.458333,45.283333,"wisconsin","Winkler, Marjorie Green",150,7,3,112,7,0,12,92,0,49,146,2,11
"2314","Rutz Lake",-93.87,44.87,"minnesota","Waddington, Jean C.B.",480,9,0,16,11,0,3,188,0,58,53,2,4
"2354","Sedivy Lake",-95.833333,47.208889,"minnesota","McAndrews, John H.",60,3,0,50,17,0,4,111,2,53,148,6,0
"3620","Seidel",-87.515556,44.45,"wisconsin","Maher, Louis J., Jr.",40,1,12,32,3,55,4,31,0,8,50,0,4
"2375","Shagawa Lake",-91.866667,47.916667,"minnesota","Bradbury, J. Platt",38,0,0,11,0,0,0,2,1,8,56,4,2
"2383","Silver Lake (US:Minnesota)",-94.2,44.9,"minnesota","McAndrews, John H.",60,2,0,17,7,1,0,79,0,26,46,1,0
"2394","Siseebakwet South",-93.683333,47.133333,"minnesota","Cushing, Edward J.",21,6,0,122,4,0,7,20,5.5,33,164.5,8,9
"2581","Solum Lake",-96.25,46.662222,"minnesota","McAndrews, John H.",40,2,0,23,7,1,1,52,0,32,36,1,2
"2584","South Stanchfield Lake",-93.466667,45.725,"minnesota","McAndrews, John H.",20,2,0,8,40,0,3,34,0,35,201,2,0
"10970","South Heron Lake",-95.27,43.75,"minnesota","Cushing, Edward J.",30,11,0,5,9,0,4,23,0,28,28,2,1
"2585","Spectacle Lake",-93.408333,45.572222,"minnesota","McAndrews, John H.",40,5,0,53,13,0,2,104,1,66,196,3,4
"2586","Spirit Lake (US:Michigan)",-86.958333,46.47,"michigan:north","Davis, Margaret B.",14,6,9,152,9,60,17,17,4,17,60,4,3
"2600","St. Catherines Lake",-93.4325,44.626944,"minnesota","McAndrews, John H.",50,6,0,6,22,2,5,166,0,63,23,0,1
"2605","Stone Lake",-93.522222,45.4,"minnesota","McAndrews, John H.",20,3,0,27,4,0,0,89,0,30,140,1,3
"2613","Sunfish Lake",-93.1,44.874722,"minnesota","McAndrews, John H.",40,1,1,22,21,3,2,142,1,40,89,2,0
"2624","Tamarack Creek",-91.45,44.15,"wisconsin","Davis, Anthony M.",13,0,0,1,1,0,1,26,1,6,90,1,85
"2638","Terhell Pond",-95.770556,47.187778,"minnesota","McAndrews, John H.",40,4,0,117,27,0,2,55,0,76,71,4,1
"3784","Third Lake",-92.016667,48.108333,"minnesota","Swain, Patricia C.",180,1,0,72,3,0,1,12,1,37,226,37,1
"2640","Thompson",-96.083333,47.2,"minnesota","McAndrews, John H.",20,3,0,21,4,0,0,31,0,40,63,2,1
"3786","Third Lake",-92.016667,48.108333,"minnesota","Swain, Patricia C.",40,1,0,51,0,3,1,7,4,38,274,39,0
"3788","Third Lake",-92.016667,48.108333,"minnesota","Swain, Patricia C.",60,2,0,66,2,2,0,8,1,37,357,73,5
"2648","Toenjes Lake",-93.981389,45.409722,"minnesota","McAndrews, John H.",60,7,0,26,20,0,4,144,0,44,82,4,3
