"x","y","region","water","Ash","Basswood","Beech","Birch","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
221000,1294000,"minnesota",0,0.017896,0.007068,2.4e-05,0.136732,0.024156,0.085516,4.4e-05,1.2e-05,0.000408,0.01188,0.001812,0.074156,0.180028,0.29838,3.6e-05,0.000368,4e-06,0.040444,0.121036
229000,1294000,"minnesota",0,0.01126,0.005216,8e-06,0.1049,0.014312,0.04548,1.6e-05,1.6e-05,0.000244,0.01072,0.001428,0.10706,0.263256,0.260812,3.6e-05,0.00022,0,0.025604,0.149412
237000,1294000,"minnesota",0,0.007904,0.005804,2.4e-05,0.180288,0.010732,0.049428,2e-05,4e-06,0.000276,0.01358,0.001356,0.150792,0.191088,0.1893,5.6e-05,0.000304,4e-06,0.045396,0.153644
245000,1294000,"minnesota",0,0.011808,0.011996,2.4e-05,0.221416,0.012128,0.06154,6.8e-05,4e-06,0.000316,0.031336,0.001104,0.185668,0.120232,0.18196,7.2e-05,0.000444,4e-06,0.0796,0.08028
253000,1294000,"minnesota",0,0.002192,0.001412,0,0.082684,0.00344,0.00964,2e-05,0,2e-05,0.00256,0.000196,0.803992,0.0234,0.038136,8e-06,0.000108,0,0.017656,0.014536
261000,1294000,"minnesota",0,0.002628,0.000976,0,0.053752,0.003668,0.009372,1.2e-05,0,4.4e-05,0.002072,0.000208,0.774284,0.02518,0.02764,8e-06,8.4e-05,0,0.069288,0.030784
269000,1294000,"minnesota",0,0.002412,0.000872,8e-06,0.032088,0.0062,0.009164,0,4e-06,4e-05,0.00168,0.00026,0.641264,0.021988,0.032716,4e-06,6e-05,0,0.02488,0.22636
277000,1294000,"minnesota",0,0.003528,0.000908,2e-05,0.030036,0.004128,0.017212,1.2e-05,0,4.8e-05,0.001612,0.000176,0.467716,0.047552,0.044352,0,7.2e-05,4e-06,0.0256,0.357024
285000,1294000,"minnesota",0,0.007924,0.001636,2.4e-05,0.035524,0.00948,0.062236,3.6e-05,0,0.000116,0.002644,0.000428,0.136736,0.097908,0.150532,3.2e-05,0.000264,4e-06,0.02312,0.471356
293000,1294000,"minnesota",0,0.017992,0.001792,4e-06,0.05262,0.013988,0.04774,3.2e-05,0,0.000144,0.003428,0.000628,0.115132,0.150056,0.095256,6.8e-05,0.000588,0,0.0281,0.472432
301000,1294000,"minnesota",0,0.018224,0.002188,2.8e-05,0.116552,0.008024,0.060256,6.8e-05,0,0.000168,0.005292,0.000624,0.25072,0.234292,0.08518,6.8e-05,0.00054,0,0.06384,0.153936
309000,1294000,"minnesota",6,0.011728,0.001712,8e-06,0.166284,0.004388,0.04952,6.4e-05,0,9.6e-05,0.005052,0.000328,0.33208,0.10634,0.132668,4.8e-05,0.000264,4e-06,0.052188,0.137228
317000,1294000,"minnesota",49,0.00926,0.00188,1.2e-05,0.270104,0.003272,0.086964,0.000108,4e-06,0.000124,0.007308,0.000452,0.39186,0.049136,0.106296,6e-05,0.000228,4e-06,0.037084,0.035844
333000,1294000,"minnesota",47,0.003148,0.000884,1.6e-05,0.11478,0.001272,0.02096,4e-05,0,6e-05,0.002444,0.000132,0.567864,0.101148,0.109412,4.4e-05,1e-04,4e-06,0.054536,0.023156
341000,1294000,"minnesota",0,0.00374,0.001104,1.6e-05,0.18814,0.001896,0.028716,5.6e-05,0,1e-04,0.002496,8.4e-05,0.410576,0.147212,0.07464,4e-05,0.000128,1.2e-05,0.110448,0.030596
349000,1294000,"minnesota",0,0.00226,0.000544,1.2e-05,0.169336,0.001836,0.011472,5.6e-05,0,5.2e-05,0.001608,0.000104,0.563584,0.096692,0.072912,1.2e-05,8e-05,0,0.027304,0.052136
357000,1294000,"minnesota",0,0.004524,0.001204,2.8e-05,0.197072,0.011408,0.030912,8.8e-05,8e-06,0.000144,0.002952,0.000232,0.380476,0.130584,0.129448,4e-05,0.000156,8e-06,0.071376,0.03934
