# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 2246 
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_upper_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 56
# output
#   file = ../output/12taxa_upper_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-7172.73,0.530355,0.053202,2,0,79.9261,36.9641,290.334,67.9831,57.1286,23.7738,83.0903,18.7862,106.367,297.381,89.0362,0.01,0.205089,0.219022
-7173.19,0.939512,0.0298235,3,0,67.9277,37.7476,290.92,64.8749,58.399,24.5719,83.7814,20.0489,103.686,297.282,89.9562,0.01,0.213854,0.241683
-7176.68,0.943883,0.0423337,2,0,65.6662,37.8905,291.06,65.4337,62.2142,24.058,81.063,18.9378,102.845,297.242,82.221,0.01,0.211621,0.219912
-7174.78,0.512694,0.0604134,1,0,67.9229,39.4286,290.727,63.7197,57.5742,24.5436,81.8005,17.8882,106.917,297.305,84.3582,0.01,0.210934,0.230026
-7168.72,0.978885,0.0328638,2,0,80.55,38.128,286.997,73.6248,56.7806,21.805,84.0121,24.2264,108.061,297.302,94.2627,0.01,0.212244,0.23425
-7159.39,0.450677,0.050521,1,0,72.1948,35.7781,285.361,64.14,56.932,22.8182,80.6514,19.7913,102.408,296.981,91.3392,0.01,0.210131,0.228801
-7115.64,0.935848,0.0241689,3,0,75.1417,36.5108,259.322,67.7519,56.1251,23.1971,80.9594,21.2409,100.921,297.788,85.1246,0.01,0.216836,0.226864
-7114.75,0.93009,0.033696,2,0,74.2657,37.1789,258.289,64.1606,57.7883,23.284,81.8824,21.4572,102.346,297.759,85.2266,0.01,0.214815,0.229122
-7089.95,0.803466,0.0462081,2,0,75.8911,37.7906,232.737,67.6896,55.8843,22.659,82.2747,19.353,99.9112,297.793,88.2482,0.01,0.196143,0.220005
-7082.5,0.823216,0.0480086,2,0,73.0001,34.7619,223.508,62.6329,53.1046,23.0939,76.5103,17.8352,93.5171,297.943,78.4414,0.01,0.200678,0.194217
