# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_pl_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 75
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_v0.1_pl_bigC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,gamma,a,b
-6164.01,0.94242,0.0349814,4,0,51.2323,39.0038,158.849,45.4642,40.2934,15.7341,56.3526,16.5941,69.386,220.902,70.0638,9.39269,0.0589429,0.0121022,2.012
-6163.56,0.841277,0.0349814,4,0,51.4653,37.4477,159.058,47.4362,38.9421,17.6409,57.994,17.0868,74.3281,224.971,69.1278,7.83463,0.0856886,0.0147775,2.03515
-6169.64,0.724976,0.0349814,2,0,50.0527,36.3529,163.523,44.6018,43.5358,17.6476,59.645,15.7229,70.6158,218.603,58.2188,8.74427,0.0709899,0.0175079,2.03207
-6173.82,0.894005,0.0349814,2,0,56.5021,39.2533,159.687,48.0136,38.6241,16.7842,61.3637,17.5476,70.9347,219.556,77.6682,7.00076,0.0956729,0.013911,2.03046
-6163.59,0.991634,0.0349814,2,0,52.6789,31.6125,174.247,48.6524,42.0312,17.9535,60.6923,17.4573,74.1682,221.236,69.7805,9.06347,0.0890236,0.0152878,2.02631
-6162.09,0.993241,0.0349814,2,0,58.2624,35.1363,157.898,45.8198,40.4715,16.7254,58.2614,15.6528,71.8849,224.987,68.716,8.20214,0.0909072,0.017797,2.02156
-6164.9,0.872076,0.0349814,4,0,54.876,30.4204,145.991,45.304,38.7179,17.4801,55.7943,14.4556,70.7751,209.231,58.9069,9.34074,0.0703027,0.0152675,2.04269
-6164.9,0.984866,0.0349814,2,0,51.9518,29.68,159.523,42.4973,38.7198,15.4353,55.8589,16.7237,69.225,208.699,70.2074,7.50131,0.0612378,0.0148476,2.05061
-6163.15,0.94821,0.0349814,2,0,50.1957,30.4947,153.792,46.8474,40.8921,14.713,56.9121,16.3818,69.7218,216.723,66.3639,7.66298,0.0638644,0.0147781,2.04598
-6162.44,0.87948,0.0349814,4,0,51.4035,29.914,162.714,45.8069,41.1478,15.44,55.9764,15.8118,69.8574,221.671,68.1725,8.84357,0.0886315,0.0162524,2.00893
-6164.4,0.844269,0.0349814,2,0,59.0318,29.8745,158.279,47.7007,38.6535,18.6264,54.9363,14.0103,70.1201,218.904,65.9918,8.57584,0.0785332,0.0142443,2.00897
-6163.88,0.986127,0.0349814,5,0,50.2583,26.3723,156.134,44.8728,39.9058,17.0401,58.1488,15.6603,70.363,221.311,67.6747,8.25925,0.0748604,0.0146694,2.00069
-6165.84,0.911126,0.0349814,3,0,51.3712,32.1971,161.929,47.4459,39.3007,16.6725,55.477,16.0687,72.0665,217.302,73.3297,7.56212,0.0749467,0.0146943,2.00033
-6167.33,0.966984,0.0349814,2,0,57.6058,29.1307,156.589,43.616,37.0499,16.0278,58.4188,15.5582,70.2527,217.934,71.1733,8.65814,0.0689486,0.0157962,2.00036
-6165.02,1,0.0349814,2,0,50.9962,28.4201,160.282,48.3134,40.5519,17.2165,59.3268,16.2329,72.6562,215.745,61.7262,8.92135,0.0782988,0.0132862,2.00037
-6164.66,0.820774,0.0349814,2,0,53.8217,34.2886,158.867,44.386,37.8128,15.4226,57.7836,14.7849,70.1499,216.079,66.6723,7.97261,0.0761454,0.0151723,2.00037
-6168.51,0.653063,0.0349814,2,0,58.078,24.1329,157.449,47.7813,40.3708,16.7751,60.1819,18.3727,71.7711,213.903,65.0325,8.28247,0.0933986,0.0138334,2.00036
-6171.89,0.847998,0.0349814,2,0,53.4115,23.4909,160.78,49.9529,41.5474,14.5471,55.5852,18.9024,72.5999,216.069,66.1555,8.18752,0.0951853,0.0134378,2.00042
