# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_lower_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_lower_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6247.57,0.983147,0.0164604,4,0,56.2504,21.1966,81.1355,46.3119,14.6518,14.9504,41.503,12.9845,51.6192,108.91,39.2394,4.60715,0.206314,0.182508
-6241.65,1,0.0273429,3,0,53.5758,12.7877,87.8827,45.2441,20.899,13.2544,41.3211,10.4885,51.096,106.953,43.4946,4.92018,0.218922,0.21889
-6249.06,0.618955,0.0470075,1,0,54.2541,14.7665,93.8243,38.6156,21.6658,13.9146,40.5536,10.3503,45.2864,99.5245,37.2462,4.22313,0.222517,0.226244
-6238.12,1,0.0312246,1,0,53.9459,14.8856,86.6058,42.3213,20.659,15.0011,40.8598,11.3659,45.642,102.906,38.6276,4.19897,0.216637,0.20476
-6235.9,0.484404,0.0531932,2,0,64.2623,17.5045,105.404,52.2794,17.5026,14.6883,48.5357,11.9972,57.1528,120.743,45.9032,4.55863,0.206447,0.192092
-6240.3,0.894842,0.0255643,3,0,48.818,15.957,93.9906,46.3784,20.3624,13.7018,40.623,11.4412,50.2676,104.7,38.649,5.14642,0.209399,0.222293
-6239.82,0.923422,0.03354,2,0,54.365,13.0089,87.6489,49.1517,22.8048,13.3529,41.9623,10.1092,46.3234,108.003,40.3937,5.02603,0.205153,0.198187
-6236.47,0.980774,0.0469494,2,0,57.8849,13.445,92.7792,45.1117,16.09,14.4814,42.374,11.1028,46.9298,110.169,38.6223,4.27926,0.20396,0.19625
-6236.47,8.21458e-11,0.0750102,0,0,57.8849,13.445,92.7792,45.1117,16.09,14.4814,42.374,11.1028,46.9298,110.169,38.6223,4.27926,0.20396,0.19625
-6235.14,0.999409,0.0116162,4,0,55.7044,12.3261,88.4088,48.0468,18.9969,13.456,43.1836,11.2037,50.4127,105.593,40.6533,4.34752,0.206073,0.195676
-6233.63,0.930953,0.0194448,3,0,60.3859,13.7829,93.6102,47.7103,17.7285,14.3046,44.0636,12.0689,51.0229,110.637,44.3802,5.22034,0.207109,0.212545
-6235.9,0.97149,0.0275345,3,0,51.5338,18.3887,86.0544,44.7192,19.2721,14.7334,41.6276,10.5415,48.2332,104.015,39.5829,3.74513,0.200356,0.197393
-6232.86,0.808337,0.0426424,2,0,62.4682,19.2044,97.67,50.7889,19.062,14.1067,45.4169,12.3018,51.7282,113.088,44.8985,4.82336,0.214481,0.197193
