# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_vary_psi_EPs_v0.3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12
-6276.13,0.893092,0.0482264,5,0,47.059,15.0584,123.228,50.3433,32.1433,19.0846,42.8405,15.8451,65.4969,151.87,54.592,9.60936,0.207478,-1.19964,-1.46785,-1.59645,0.00274809,-1.5969,-0.1114,-1.49309,-1.52122,-1.06845,-1.87784,-1.32437,0.378818,0.119053,1.14186,0.301304,0.230421,0.202615,1.00275,0.202523,0.894581,0.224676,0.218445,0.343541,0.152921,0.265971,1.46056
-6276.13,0.0128822,0.0662807,2,0,47.059,15.0584,123.228,50.3433,32.1433,19.0846,42.8405,15.8451,65.4969,151.87,54.592,9.60936,0.207478,-1.19964,-1.46785,-1.59645,0.00274809,-1.5969,-0.1114,-1.49309,-1.52122,-1.06845,-1.87784,-1.32437,0.378818,0.119053,1.14186,0.301304,0.230421,0.202615,1.00275,0.202523,0.894581,0.224676,0.218445,0.343541,0.152921,0.265971,1.46056
-6275,0.991999,0.00702009,6,0,47.6852,17.5017,122.884,47.4988,33.4773,19.4275,44.361,14.6445,66.2368,150.183,54.1896,9.61364,0.205771,-1.26381,-1.47837,-1.63754,-0.103511,-1.65291,-0.253298,-1.521,-1.50861,-0.961041,-1.84766,-1.24635,0.402543,0.105146,1.04112,0.282575,0.228009,0.194458,0.901666,0.191491,0.776236,0.218492,0.221217,0.382495,0.157606,0.287552,1.49562
-6277.65,0.992857,0.0129884,6,0,49.4702,30.3714,138.328,54.0768,36.5134,22.8292,50.7568,16.5398,71.0776,175.46,57.7821,13.2849,0.194347,-1.46343,-1.33339,-1.65757,-0.331279,-1.48446,-0.0577137,-1.69619,-1.45671,-1.27514,-1.83504,-1.2945,0.173278,0.151096,1.74483,0.23144,0.263581,0.190601,0.718005,0.226624,0.94392,0.18338,0.233001,0.279393,0.159607,0.274035,1.1892
-6275.52,0.572445,0.0238513,3,0,53.2176,24.5627,131.544,57.6446,37.2064,21.9512,51.8402,13.1098,69.4707,180.661,70.1876,11.1409,0.197875,-1.35941,-1.27983,-1.7225,-0.327852,-1.62005,-0.0245553,-1.58253,-1.52332,-1.27611,-1.87116,-1.35799,0.00388514,0.15995,1.75598,0.256813,0.278083,0.178619,0.72047,0.19789,0.975744,0.205454,0.217986,0.279121,0.153944,0.257177,1.00389
-6275.39,0.998276,0.0131799,5,0,56.516,23.4786,137.814,53.7437,38.5009,21.24,48.8281,14.8248,75.5894,176.511,59.2493,11.2954,0.189744,-1.48947,-1.43656,-1.75563,-0.411356,-1.51636,0.0292652,-1.58875,-1.53226,-1.20291,-1.88741,-1.31381,0.00181646,0.148063,1.91266,0.225492,0.237745,0.172799,0.662751,0.21951,1.0297,0.20418,0.216047,0.30032,0.151463,0.268794,1.00182
-6275.56,0.985822,0.0243351,4,0,55.7115,25.0568,147.13,58.9749,37.5616,23.8776,51.8449,14.341,72.7511,186.69,59.9441,10.2654,0.191003,-1.18369,-1.18629,-1.59964,-0.902416,-1.67711,0.00448403,-1.64178,-1.72443,-1.19329,-1.8493,-1.44544,0.0272027,0.128132,1.38663,0.306148,0.305353,0.201969,0.405589,0.186914,1.00449,0.193635,0.178275,0.303221,0.157347,0.235643,1.02758
-6286.38,0.736081,0.0429604,2,0,61.52,23.9351,145.544,46.0804,35.8104,22.9056,51.3961,13.764,68.7897,179.994,64.1942,11.237,0.204532,-1.15485,-1.1806,-1.58232,-0.988211,-1.77481,0.0069717,-1.6151,-1.71619,-1.44098,-1.74741,-1.43122,-0.0675863,0.126406,1.15273,0.315104,0.307096,0.205499,0.372242,0.169516,1.007,0.19887,0.17975,0.236696,0.174224,0.239018,0.934647
-6277.96,0.965453,0.0376943,3,0,52.1191,28.7482,128.57,44.0381,34.577,21.0123,47.4277,14.9463,73.6945,171.276,55.4828,9.20811,0.17584,-1.09316,-1.33806,-1.70431,-1.18783,-1.48878,-0.0243386,-1.64302,-1.82532,-1.07934,-1.89443,-1.28422,-0.290761,0.143189,1.31227,0.335157,0.262353,0.181898,0.304881,0.225648,0.975955,0.193396,0.161166,0.33982,0.150405,0.276867,0.747694
-6275.05,0.125783,0.0621232,3,0,50.215,14.6254,133.337,50.3583,32.16,20.1085,48.5839,16.3582,74.9483,168.138,55.7194,10.6025,0.194815,-1.02876,-1.35342,-1.59509,-0.816036,-1.6293,-0.464573,-1.61061,-1.54359,-1.09508,-1.80321,-1.24143,-0.612225,0.179536,1.35225,0.357451,0.258356,0.20289,0.442181,0.196066,0.628403,0.199766,0.213614,0.334514,0.16477,0.288972,0.542143
-6275.86,0.992688,0.0103807,5,0,54.295,23.9572,123.819,48.4597,31.7359,22.9108,47.4588,15.1088,67.1199,164.268,54.8423,8.85574,0.19097,-1.08543,-1.28578,-1.74581,-0.510932,-1.47164,-0.350412,-1.5829,-1.18419,-1.15313,-1.87399,-1.20146,-0.40555,0.139216,1.36787,0.337756,0.276435,0.174504,0.599936,0.229549,0.704398,0.205379,0.305995,0.315646,0.153511,0.300756,0.66661
-6272.47,0.986196,0.0184537,5,0,57.9859,25.5161,123.866,53.2975,35.2416,18.8332,45.504,16.1933,64.2091,154.536,61.7247,8.8754,0.191944,-1.01171,-1.20529,-1.68548,-0.557784,-1.55136,-0.375892,-1.65201,-1.27256,-1.18724,-1.9116,-1.18849,-0.53504,0.124463,1.81702,0.363595,0.299605,0.185356,0.572476,0.211959,0.686676,0.191665,0.280113,0.305062,0.147844,0.30468,0.585646
-6269.65,0.85885,0.0319389,4,0,51.3963,23.5887,132.377,49.8836,32.5759,22.6288,44.9473,13.115,74.7964,165.804,59.027,8.94176,0.187242,-1.26937,-1.29847,-1.61994,-0.685074,-1.5359,-0.265173,-1.63188,-1.69797,-0.922859,-1.83375,-1.42979,-0.826505,0.290745,1.33994,0.28101,0.272949,0.197911,0.504053,0.215262,0.767073,0.195561,0.183056,0.397381,0.159814,0.239359,0.437576
-6268.29,0.668162,0.0390932,4,0,57.2559,24.676,134.752,49.5818,35.5372,18.4896,49.1237,16.1144,66.0709,165.912,58.6402,9.75808,0.201664,-0.841666,-1.35024,-1.59628,-0.419574,-1.60235,-1.27157,-1.57948,-1.46053,-1.25419,-1.84484,-1.4499,-0.744562,0.0846393,1.61177,0.430992,0.259178,0.202649,0.657327,0.201422,0.280392,0.206082,0.232114,0.285308,0.15805,0.234594,0.474942
-6274.05,0.872766,0.0288861,3,0,60.0668,25.7737,115.3,52.3779,32.2827,15.9165,44.6422,15.5846,64.8515,155.819,56.4723,8.66367,0.208382,-0.842046,-1.28396,-1.68207,-0.388025,-1.46277,-1.07328,-1.62162,-1.418,-1.18499,-1.74443,-1.45822,-0.753607,0.0859666,1.59398,0.430828,0.276938,0.185989,0.678396,0.231595,0.341886,0.197579,0.242198,0.305748,0.174744,0.232649,0.470666
-6271.23,0.850976,0.0365674,4,0,65.3518,20.8533,139.547,57.4597,36.7323,17.7891,50.5245,15.728,78.323,181.912,68.759,10.7398,0.19981,-0.96604,-1.33262,-1.63336,-0.326995,-1.60323,-1.08085,-1.59672,-1.6852,-1.02158,-1.92764,-1.17614,-0.687306,0.0378423,1.19694,0.380587,0.263784,0.195272,0.721087,0.201246,0.339306,0.20256,0.185408,0.360027,0.145491,0.308468,0.502929
-6273.93,0.578988,0.0435861,3,0,53.4803,25.7775,126.98,47.048,35.6075,19.4657,45.1662,13.1648,70.3518,164.52,55.1915,9.2877,0.194157,-0.837307,-1.29997,-1.59129,-0.0363693,-1.43442,-1.07429,-1.60168,-1.83901,-1.11705,-1.78597,-1.42056,-0.538415,0.0539483,1.29301,0.432874,0.27254,0.203663,0.964284,0.238254,0.341541,0.201558,0.158975,0.327244,0.167634,0.24158,0.583672
-6276.67,0.813575,0.0257611,5,0,58.3411,25.617,122.431,59.2698,34.4977,19.0034,48.0879,15.5726,74.5947,164.795,55.3475,10.2972,0.198678,-1.09855,-1.35539,-1.74584,-0.0621381,-1.68271,-1.26426,-1.54755,-1.79394,-1.07561,-1.88289,-1.27177,-0.407094,0.0698163,1.65605,0.333353,0.257845,0.174498,0.939753,0.185869,0.282448,0.212768,0.166304,0.341088,0.152149,0.280336,0.665582
-6268.31,0.998847,0.0279045,5,0,57.3554,25.4494,135.924,53.4734,36.3626,22.1302,45.2376,14.014,68.7243,161.657,64.4538,9.10687,0.202394,-0.912049,-1.2891,-1.60245,-0.65314,-1.46553,-0.502673,-1.61811,-1.61732,-1.06529,-1.84661,-1.36327,-1.03166,0.158358,1.49341,0.4017,0.275519,0.201403,0.520409,0.230955,0.604912,0.198273,0.198431,0.344626,0.157771,0.255822,0.356414
-6274,0.455041,0.0482327,4,0,42.5056,19.3977,131.548,52.1707,35.81,21.7736,47.7498,14.0479,70.67,173.942,61.77,9.11369,0.173206,-1.42338,-1.24513,-1.70424,-0.558587,-1.58827,-0.428266,-1.58214,-1.58603,-1.11365,-1.87912,-1.24506,-0.801666,0.0981623,1.41819,0.240898,0.287902,0.18191,0.572017,0.20428,0.651638,0.205536,0.204738,0.328358,0.152725,0.287923,0.448581
-6273.47,0.969973,0.021104,4,0,50.9685,24.6458,139.808,48.6233,35.9188,19.1763,46.0961,13.2019,67.3541,163.355,64.3609,9.87186,0.208921,-0.849844,-1.37758,-1.58663,-0.625595,-1.47372,-0.925144,-1.64939,-1.57647,-1.14398,-1.84811,-1.40141,-0.933605,0.0789197,1.81635,0.427481,0.252188,0.204614,0.534943,0.229071,0.396474,0.192168,0.206704,0.318547,0.157535,0.246249,0.393134
-6273.41,0.93325,0.0337294,4,0,61.1261,18.1124,130.12,53.6411,33.9918,16.9395,46.7154,15.0246,65.0501,165.103,51.6126,8.10932,0.195301,-1.21288,-1.25848,-1.658,-0.342687,-1.44377,-1.08468,-1.65245,-1.6081,-1.15868,-1.8738,-1.35235,-1.44083,0.194027,1.50434,0.297339,0.284086,0.19052,0.709861,0.236037,0.338009,0.191581,0.200268,0.313901,0.153539,0.258633,0.236732
-6277.15,0.250778,0.0488816,2,0,49.3442,16.9755,120.865,48.1769,37.2505,15.6771,44.2722,13.3628,66.1275,159.468,61.1193,6.65448,0.222871,-1.07604,-0.968654,-1.66113,-0.663589,-1.67367,-1.33852,-1.51784,-1.61093,-1.17015,-1.88471,-1.23741,-1.62663,0.177792,2.07137,0.340943,0.379594,0.189924,0.515,0.187558,0.262233,0.219185,0.199701,0.310321,0.151873,0.290134,0.196592
