# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_bigC_c3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6298.4,0.82605,0.0274851,2,0,47.0788,15.1538,140.427,39.6634,32.6753,14.1908,47.1202,13.0918,60.5037,176.743,54.9311,8.28999,0.215806,0.2255
-6296.73,1,0.0300146,2,0,51.6736,16.1061,126.051,45.3105,37.4857,15.3127,48.7356,13.1986,60.245,169.689,55.2247,7.17831,0.203549,0.199098
-6297.99,0.750288,0.0472949,2,0,43.9948,16.7014,134.989,36.0662,31.541,15.9679,48.696,16.2178,60.5832,171.164,57.6451,6.51083,0.207574,0.229622
-6298.02,0.953764,0.0438558,2,0,46.787,24.7175,123.859,43.2904,35.1458,14.0562,46.2071,13.012,57.6704,163.066,55.702,8.33031,0.206811,0.184977
-6298,0.406836,0.0622826,1,0,49.5586,27.158,135.432,39.5801,33.2447,12.5406,49.4015,13.28,60.2674,167.844,54.6222,7.53897,0.208686,0.229165
-6296.68,1,0.0282386,2,0,47.0169,24.3664,123.941,40.2279,33.7287,16.5372,46.1324,15.9603,53.6774,164.097,58.2829,6.31687,0.205499,0.192575
-6293.36,1,0.0440576,1,0,46.4823,24.8746,122.022,40.2232,34.0069,16.1603,45.5818,15.9168,54.3881,163.003,55.6056,6.49405,0.200823,0.203097
-6293.36,2.79091e-08,0.0684105,0,0,46.4823,24.8746,122.022,40.2232,34.0069,16.1603,45.5818,15.9168,54.3881,163.003,55.6056,6.49405,0.200823,0.203097
-6296.24,0.978964,0.013636,3,0,43.8259,22.5202,130.846,39.6773,35.7611,14.097,47.3698,14.8754,61.3887,165.483,53.7281,5.83177,0.218972,0.226284
-6292.07,0.99619,0.0203097,3,0,45.233,22.5605,128.106,43.2003,32.543,14.0287,45.8284,15.2577,55.3745,167.335,53.9144,6.98512,0.208838,0.221053
-6290.05,1,0.031194,2,0,46.2515,21.0218,129.397,42.112,34.8204,14.3414,47.82,15.1106,62.1779,168.314,58.3439,7.40561,0.209345,0.214114
-6292.07,0.898689,0.0480669,1,0,42.6611,21.4299,128.638,35.9285,31.732,15.4961,44.5284,13.946,54.8849,165.183,57.177,7.23516,0.208951,0.212222
-6292.07,0.0353677,0.0601706,1,0,42.6611,21.4299,128.638,35.9285,31.732,15.4961,44.5284,13.946,54.8849,165.183,57.177,7.23516,0.208951,0.212222
-6290.6,0.994274,0.0133979,4,0,44.726,20.6625,129.286,35.6639,32.3968,15.3146,46.1088,14.2784,56.5776,166.002,57.54,7.53077,0.209454,0.21196
-6291.14,0.923765,0.0203578,3,0,47.9923,20.6764,130.948,40.6556,35.435,17.399,47.8443,14.2716,60.5681,173.129,55.0109,8.45934,0.203351,0.207029
-6291.95,0.920035,0.0267943,3,0,50.7868,29.9704,143.519,44.5049,36.1729,14.205,51.4757,15.3223,63.4334,186.602,62.5115,7.81655,0.206003,0.210461
-6289.97,0.83474,0.0349112,2,0,47.1907,26.2075,134.936,43.3546,35.6348,16.7109,49.2939,14.9779,62.3682,180.157,61.7884,7.33419,0.212265,0.207902
-6289.9,0.928061,0.0383856,2,0,48.4305,22.5304,132.028,39.3242,32.9588,15.7737,47.1842,14.8801,56.7249,168.352,52.0331,7.03037,0.204808,0.218421
-6290.61,0.845269,0.0505786,2,0,42.9293,26.2148,133.014,40.4735,34.161,14.6678,45.9565,14.3903,60.5275,170.989,55.7125,7.18768,0.202925,0.213554
-6290.61,0.0338258,0.0565994,1,0,42.9293,26.2148,133.014,40.4735,34.161,14.6678,45.9565,14.3903,60.5275,170.989,55.7125,7.18768,0.202925,0.213554
-6291.5,0.986391,0.013192,4,0,51.9547,22.189,129.347,39.49,33.6617,15.2032,44.4415,15.3992,59.8162,164.336,56.0915,6.93659,0.20724,0.205743
-6295.87,0.917794,0.0194605,2,0,49.7834,22.0655,121.757,35.565,33.2522,13.4909,47.6352,16.1429,56.2588,170.557,54.3639,7.22797,0.207042,0.201465
-6292.19,0.989083,0.0250829,2,0,47.9757,23.6461,133.033,41.7629,36.8173,14.22,45.5458,15.9802,57.8961,173.294,51.5698,7.4007,0.209767,0.20622
-6298.16,0.691721,0.0369459,2,0,52.5091,17.2429,142.313,41.9827,31.7965,17.6367,48.6744,12.8873,62.6688,179.865,60.6889,6.56682,0.201366,0.20447
-6294.08,0.948542,0.0308444,3,0,41.1502,22.5991,122.923,37.6422,29.2111,15.5035,44.7409,15.4147,54.3139,161.818,51.5628,7.72819,0.20459,0.211596
-6293.58,0.854165,0.0418912,2,0,53.7907,27.4159,141.956,45.0383,39.6892,15.3997,50.9694,13.7903,62.7209,184.744,62.4697,6.51576,0.206593,0.21851
-6295.7,0.830054,0.0475089,1,0,47.0662,24.9975,135.149,39.4134,31.6763,16.437,48.1915,18.5424,63.1993,177.448,55.5927,8.48795,0.206323,0.204813
-6296.12,0.687069,0.0514401,1,0,47.188,26.6985,138.131,42.7445,30.6741,16.1011,50.566,16.8746,58.7555,177.076,54.5712,8.39015,0.19838,0.206181
-6291.68,0.766249,0.0426295,2,0,45.0996,24.541,136.501,40.8465,33.9287,15.9738,47.0536,17.2691,59.248,174.311,56.1718,7.44354,0.201744,0.212729
-6301.74,0.313203,0.0409842,1,0,41.149,25.1056,132.212,36.1016,34.6087,16.7747,48.0038,16.4939,61.5066,169.938,54.4013,8.55928,0.21283,0.239694
-6297.01,1,0.0170566,3,0,56.703,28.6412,137.579,47.262,34.7058,15.2434,49.2729,14.4177,59.6344,177.919,62.5494,7.12549,0.204279,0.198993
-6292.21,0.989202,0.0253172,3,0,41.5203,23.08,131.329,37.6826,35.1394,15.6193,45.4204,14.9161,57.3586,166.794,52.5404,6.32873,0.205975,0.214149
