# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_vary_psi_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,gamma
-6440.25,1,0.0642751,1,0,67.2232,38.5377,235.067,82.6751,48.3255,29.1612,76.4025,19.3231,83.8545,299.975,79.317,14.1935,0.207896,0.232311,0.219715,0.791592,0.201563,0.324098,0.180612,0.166142,0.100004,0.17028,0.184365,1.87319,0.169801
-6440.25,2.53445e-115,0.117075,0,1,67.2232,38.5377,235.067,82.6751,48.3255,29.1612,76.4025,19.3231,83.8545,299.975,79.317,14.1935,0.207896,0.232311,0.219715,0.791592,0.201563,0.324098,0.180612,0.166142,0.100004,0.17028,0.184365,1.87319,0.169801
-6432.14,0.997239,0.0133411,7,0,69.7793,25.9319,199.688,77.6248,45.6304,32.8159,79.6872,19.9047,84.8161,299.933,91.8448,14.5691,0.205769,0.387414,0.179941,0.486561,0.193826,0.733692,0.169959,0.219345,0.100004,0.183714,0.388979,1.86842,0.189676
-6431.01,0.971232,0.0241955,6,0,85.6376,30.5604,234.424,71.3236,50.9619,25.2176,79.653,20.9521,85.3334,299.985,91.55,13.5212,0.388608,0.370126,0.213391,0.384195,0.202183,0.427763,0.184333,0.224615,0.100001,0.180183,0.350824,1.2287,0.198373
-6431.45,0.601773,0.0404881,4,0,84.1759,28.7844,220.428,84.3424,54.4103,33.4551,77.0061,17.3577,87.9398,299.984,87.5435,14.1194,0.395158,0.219922,0.209498,0.58222,0.196098,0.898887,0.190131,0.195884,0.100002,0.160749,0.196433,1.25515,0.189558
-6428.08,0.987377,0.0248325,4,0,80.8746,34.1031,214.44,76.2548,48.8116,27.7849,78.2452,18.5122,82.6474,299.976,89.4816,13.5799,0.453335,0.293282,0.189627,0.569078,0.207797,0.739951,0.181779,0.20894,0.100002,0.183849,0.351784,1.14374,0.2069
-6425.27,0.761344,0.0430112,6,0,79.6636,32.7888,223.701,84.6086,48.761,28.1566,82.2842,17.7339,86.0044,299.951,94.2728,14.4764,0.322034,0.385246,0.193841,0.566024,0.173206,1.85064,0.180667,0.211607,0.10006,0.165444,0.242831,0.919832,0.177703
-6421.51,0.983551,0.0405592,5,0,78.9723,23.7713,207.732,71.7439,51.6971,32.4058,76.6872,16.1317,83.3079,299.985,84.3577,13.3274,0.338112,0.374988,0.197031,0.31229,0.177988,1.69026,0.178173,0.180678,0.101682,0.19405,0.287692,1.18846,0.195073
-6417.16,0.242286,0.0686593,2,0,82.3169,23.4779,218.64,77.187,50.3181,28.7811,79.4943,20.429,85.5434,299.982,97.4619,14.2294,0.355353,0.354928,0.199084,0.406084,0.217698,1.71097,0.172496,0.202114,0.102205,0.166964,0.269444,1.0699,0.186966
-6413.78,0.988825,0.0166667,6,0,70.3945,33.5217,210.888,70.5395,46.7186,27.5269,78.7736,20.0343,82.8591,299.983,91.5478,14.8595,0.243557,0.307202,0.196474,0.282473,0.180207,1.61637,0.1745,0.202015,0.107201,0.184538,0.236142,1.11049,0.175725
-6410.75,0.917515,0.0285574,5,0,84.8116,33.213,208.978,71.6081,54.1753,33.8867,77.2574,20.4125,82.2409,299.976,82.5239,12.6379,0.347018,0.256309,0.190512,0.318219,0.188454,1.68806,0.170676,0.210351,0.113085,0.178329,0.256339,1.31152,0.186069
-6399.21,0.900254,0.0403989,3,0,75.3138,32.0205,222.292,74.2814,57.7364,33.997,79.8733,20.419,89.4689,299.976,89.0126,13.331,0.288648,0.276571,0.194774,0.368482,0.197768,1.57002,0.183008,0.206733,0.135985,0.168994,0.227031,1.42973,0.194448
-6400.7,0.588205,0.0543937,3,0,78.7186,40.1481,229.16,80.5339,45.9447,30.1178,79.5237,19.4017,87.9379,299.974,90.5288,13.7297,0.304702,0.286243,0.213442,0.389892,0.184988,1.50273,0.180361,0.205468,0.141527,0.164384,0.245268,1.28214,0.179254
-6387.72,0.895381,0.0331032,3,0,85.2851,21.5066,199.498,84.4622,48.421,29.8267,79.2817,20.3287,99.5581,299.964,90.9446,16.9353,0.399244,0.239923,0.179394,0.487957,0.198295,1.47899,0.18224,0.184633,0.204598,0.177385,0.254797,1.0415,0.191287
-6376.17,0.990695,0.0438843,3,0,79.8168,35.5113,224.829,82.5307,51.8953,30.6606,79.9101,18.6275,118.589,299.97,86.082,11.3633,0.29983,0.221987,0.190917,0.683295,0.192818,1.57723,0.194335,0.212526,0.334547,0.161945,0.19561,0.870815,0.198887
-6376.17,0.00197606,0.07346,1,0,79.8168,35.5113,224.829,82.5307,51.8953,30.6606,79.9101,18.6275,118.589,299.97,86.082,11.3633,0.29983,0.221987,0.190917,0.683295,0.192818,1.57723,0.194335,0.212526,0.334547,0.161945,0.19561,0.870815,0.198887
-6369.33,0.987932,0.0105664,7,0,73.8171,36.4539,216.232,72.6903,52.2103,32.4087,78.8187,20.4038,116.778,299.388,83.1288,8.78455,0.290576,0.281636,0.178578,0.349461,0.190591,0.474298,0.195197,0.170932,0.318269,0.151837,0.205603,0.230243,0.172487
